00001 ,"['SIGNIFICANCE', 'PSEUDOMONAS', 'AERUGINOSA', 'INFECTION', 'RESPIRATORY', 'TRACT', 'CYSTIC', 'FIBROSIS', 'PATIENT', 'STUDIED', 'MEAN', 'IMMUNOELECTROPHORETICAL', 'ANALYSIS', 'PATIENT', 'SERUM', 'NUMBER', 'PRECIPITIN', 'PSEUDOMONAS', 'AERUGINOSA', 'CONCENTRATION', 'SERUM', 'PROTEIN', 'ADDITION', 'CLINICAL', 'RADIOGRAPHICAL', 'STATUS', 'LUNG', 'EVALUATED', 'USING', 'SCORING', 'SYSTEM', 'PRECIPITIN', 'PSEUDOMONAS', 'AERUGINOSA', 'DEMONSTRATED', 'SERUM', 'MAXIMUM', 'NUMBER', 'ONE', 'SERUM', 'CONCENTRATION', 'SERUM', 'PROTEIN', 'SIGNIFICANTLY', 'CHANGED', 'COMPARED', 'MATCHED', 'CONTROL', 'PERSON', 'NOTABLY', 'IGG', 'IGA', 'ELEVATED', 'ACUTE', 'PHASE', 'PROTEIN', 'CHANGED', 'LATTER', 'SUGGESTING', 'ACTIVE', 'TISSUE', 'DAMAGE', 'CONCENTRATION', 'ACUTE', 'PHASE', 'PROTEIN', 'NOTABLY', 'HAPTOGLOBIN', 'CORRELATED', 'NUMBER', 'PRECIPITIN', 'SUGGESTING', 'RESPIRATORY', 'TRACT', 'INFECTION', 'PATIENT', 'MANY', 'PRECIPITIN', 'ACCOMPANIED', 'TISSUE', 'DAMAGE', 'INFECTION', 'PATIENT', 'PRECIPITIN', 'RESULT', 'INDICATE', 'PROTECTIVE', 'VALUE', 'MANY', 'PRECIPITIN', 'TISSUE', 'RESPIRATORY', 'TRACT']"
00002 ,"['SALIVARY', 'AMYLASE', 'LEVEL', 'DETERMINED', 'NORMAL', 'SUBJECT', 'BIRTH', 'ADULT', 'LIFE', 'CHILD', 'CONDITION', 'SOMETIMES', 'ASSOCIATED', 'LOW', 'PANCREATIC', 'AMYLASE', 'MALNUTRITION', 'COELIAC', 'DISEASE', 'CYSTIC', 'FIBROSIS', 'MIXED', 'SALIVA', 'COLLECTED', 'CAREFULLY', 'STANDARDISED', 'CONDITION', 'AMYLASE', 'MEASURED', 'METHOD', 'DAHLQVIST', 'WIDE', 'SCATTER', 'VALUE', 'NORMAL', 'SUBJECT', 'CONCENTRATION', 'ROSE', 'LOW', 'LEVEL', 'BIRTH', 'REACH', 'ADULT', 'LEVEL', 'AGE', 'MONTH', 'YEAR', 'SALIVARY', 'AMYLASE', 'ACTIVITY', 'ROSE', 'NORMALLY', 'TEN', 'WEEK', 'ONE', 'PREMATURE', 'INFANT', 'FED', 'MILK', 'GASTROSTOMY', 'THIRTEEN', 'CHILD', 'COELIAC', 'DISEASE', 'CHILD', 'CYSTIC', 'FIBROSIS', 'MOSTLY', 'NORMAL', 'SALIVARY', 'AMYLASE', 'CONCENTRATION', 'SIX', 'MALNOURISHED', 'CHILD', 'JEJUNAL', 'VILLOUS', 'ATROPHY', 'UNCERTAIN', 'AETIOLOGY', 'LOW', 'LEVEL', 'ROSE', 'NORMAL', 'RECOVERY', 'BEGAN']"
00003 ,"['ARTICLE', 'REPORT', 'POSSIBILITY', 'USING', 'INSTRUMENTAL', 'NEUTRON', 'ACTIVATION', 'ANALYSIS', 'INAA', 'SODIUM', 'NAIL', 'CLIPPING', 'DIAGNOSING', 'CYSTIC', 'FIBROSIS', 'CF', 'CHILD', 'ADULT', 'DETECTING', 'HETEROZYGOTE', 'SCREENING', 'NEONATAL', 'PERIOD', 'NAIL', 'CLIPPING', 'NEWBORN', 'CF', 'PATIENT', 'TWO', 'NEWBORN', 'HEALTHY', 'CONTROL', 'HETEROZYGOTE', 'ANALYZED', 'DISCRIMINATION', 'CF', 'PATIENT', 'CONTROL', 'FOUND', 'PRECISE', 'INDIVIDUAL', 'ONE', 'YEAR', 'AGE', 'INAA', 'NAIL', 'CLIPPING', 'ACCEPTED', 'DIAGNOSTIC', 'TEST', 'CF', 'AGE', 'HETEROZYGOTE', 'COULD', 'DETECTED', 'METHOD', 'FIRST', 'FIVE', 'DAY', 'LIFE', 'BIG', 'OVERLAP', 'VALUE', 'NORMAL', 'NEWBORN', 'CF', 'CHILD', 'MAKE', 'METHOD', 'INVALUABLE', 'EARLY', 'SCREENING', 'CF']"
00004 ,"['INSTRUMENTAL', 'NEUTRON', 'ACTIVATION', 'ANALYSIS', 'INAA', 'NAIL', 'CLIPPING', 'USED', 'DEVELOPMENT', 'DIAGNOSTIC', 'METHOD', 'CYSTIC', 'FIBROSIS', 'CF', 'CF', 'PATIENT', 'CONTROL', 'THREE', 'YEAR', 'OLD', 'NAIL', 'CLIPPING', 'SAMPLED', 'TEST', 'DIFFERENT', 'ERROR', 'RESULT', 'STUDY', 'PRECISE', 'COLLECTION', 'ROUTINE', 'OUTLINED', 'SODIUM', 'EASILY', 'WASHED', 'NAIL', 'CLIPPING', 'RISK', 'SODIUM', 'CONTAMINATION', 'NAIL', 'SEEMS', 'SMALL', 'SODIUM', 'DISTRIBUTION', 'NAIL', 'INHOMOGENEOUS', 'SODIUM', 'CONTENT', 'VARIES', 'ALSO', 'NAIL', 'NAIL', 'PERSON', 'GOOD', 'EVIDENCE', 'INCREASED', 'SODIUM', 'NAIL', 'CF', 'PATIENT', 'COME', 'SWEAT', 'SEEMS', 'BASIC', 'INTRINSIC', 'SODIUM', 'LEVEL', 'NAIL', 'CF', 'PATIENT', 'CONTROL', 'PRECISION', 'ACCURACY', 'INAA', 'DETERMINING', 'SODIUM', 'NAIL', 'CONSIDERED', 'SATISFACTORY', 'CONCLUDED', 'INAA', 'SODIUM', 'CONCENTRATION', 'NAIL', 'CLIPPING', 'SUITABLE', 'METHOD', 'AID', 'DIAGNOSIS', 'CF', 'PRECISE', 'COLLECTION', 'ROUTINE', 'USED']"
00005 ,"['CAPACITY', 'DUODENAL', 'JUICE', 'HYDROLYSE', 'CASEIN', 'TRICHLOROACETIC', 'ACID', 'SOLUBLE', 'PEPTIDE', 'INVESTIGATED', 'CONTROL', 'GROUP', 'INFANT', 'CHILD', 'ADULT', 'CHILD', 'PANCREATIC', 'DISEASE', 'CHILD', 'ENTEROGENIC', 'MALABSORPTION', 'COELIAC', 'DISEASE', 'COW', 'MILK', 'PROTEIN', 'INTOLERANCE', 'PROTEOLYTIC', 'ACTIVITY', 'PER', 'ML', 'DUODENAL', 'JUICE', 'FASTING', 'CONDITION', 'GREAT', 'HEALTHY', 'INFANT', 'CHILD', 'HEALTHY', 'ADULT', 'MG', 'CASEIN', 'ML', 'HOUR', 'GOOD', 'CORRELATION', 'TRYPSIN', 'CONTENT', 'PROTEOLYTIC', 'ACTIVITY', 'DUODENAL', 'JUICE', 'PANCREATIC', 'INSUFFICIENCY', 'PROTEOLYTIC', 'ACTIVITY', 'EXTREMELY', 'LOW', 'MEASURABLE', 'PATIENT', 'TRYPSIN', 'ACTIVITY', 'WHEREAS', 'ENTEROGENIC', 'MALABSORPTION', 'WITHIN', 'RANGE', 'CONTROL']"
00006 ,"['INFLUENCE', 'CHRONIC', 'P', 'AERUGINOSA', 'INFECTION', 'OCCURRENCE', 'BONE', 'MARROW', 'DERIVED', 'LYMPHOCYTE', 'CELL', 'THYMUS', 'DERIVED', 'LYMPHOCYTE', 'CELL', 'PERIPHERAL', 'BLOOD', 'STUDIED', 'GROUP', 'PATIENT', 'CYSTIC', 'FIBROSIS', 'ONE', 'GROUP', 'PATIENT', 'SUFFERED', 'CHRONIC', 'P', 'AERUGINOSA', 'INFECTION', 'RESPIRATORY', 'TRACT', 'PRODUCED', 'MULTIPLE', 'P', 'AERUGINOSA', 'PRECIPITIN', 'DEMONSTRATED', 'MEAN', 'CROSSED', 'IMMUNOELECTROPHORESIS', 'GROUP', 'PATIENT', 'NEVER', 'HARBOURED', 'P', 'AERUGINOSA', 'RESPIRATORY', 'TRACT', 'PRESENTED', 'DEMONSTRABLE', 'PRECIPITIN', 'BACTERIA', 'LYMPHOCYTE', 'EXAMINED', 'PRESENCE', 'SURFACE', 'MARKER', 'CELL', 'RECEPTOR', 'COMPLEMENT', 'COMPONENT', 'EAC', 'ROSETTE', 'FORMATION', 'SURFACE', 'IMMUNOGLOBULIN', 'IMMUNOFLUORESCENT', 'STAINING', 'PRESENCE', 'SURFACE', 'MARKER', 'CELL', 'SPONTANEOUS', 'BINDING', 'SHEEP', 'RED', 'BLOOD', 'CELL', 'ROSETTE', 'FORMATION', 'CELL', 'RATIO', 'NEARLY', 'IDENTICAL', 'GROUP', 'PATIENT', 'WHEREAS', 'TOTAL', 'NUMBER', 'CELL', 'SIGNIFICANT', 'HIGHER', 'PATIENT', 'CHRONIC', 'P', 'AERUGINOSA', 'INFECTION', 'NUMBER', 'P', 'AERUGINOSA', 'PRECIPITIN', 'PER', 'SERUM', 'SIGNIFICANTLY', 'POSITIVELY', 'CORRELATED', 'TOTAL', 'NUMBER', 'CELL', 'WHERAS', 'CORRELATION', 'TOTAL', 'NUMBER', 'CELL', 'INSIGNIFICANT']"
00007 ,"['OCCURRENCE', 'PSEUDOMONAS', 'AERUGINOSA', 'RESPIRATORY', 'TRACT', 'CYSTIC', 'FIBROSIS', 'PATIENT', 'OCCURRENCE', 'PRECIPITIN', 'P', 'AERUGINOSA', 'SERUM', 'PATIENT', 'INVESTIGATED', 'ONE', 'YEAR', 'MEAN', 'MONTHLY', 'BACTERIOLOGICAL', 'EXAMINATION', 'TRACHEAL', 'SECRETION', 'MEAN', 'CROSSED', 'IMMUNOELECTROPHORESIS', 'POLYVALENT', 'P', 'AERUGINOSA', 'ANTIGEN', 'SERUM', 'PATIENT', 'ONE', 'YEAR', 'PERIOD', 'PREVALENCE', 'RATE', 'PATIENT', 'HARBOURING', 'P', 'AERUGINOSA', 'PER', 'CENT', 'NEWLY', 'COLONIZED', 'PATIENT', 'INTERMITTENTLY', 'COLONIZED', 'PATIENT', 'NON', 'MUCOID', 'STRAIN', 'PREDOMINATING', 'WHEREAS', 'MUCOID', 'STRAIN', 'PREDOMINATING', 'CHRONICALLY', 'COLONIZED', 'PATIENT', 'OCCURRENCE', 'MUCOID', 'STRAIN', 'ESPECIALLY', 'CHRONICALLY', 'COLONIZED', 'PATIENT', 'ASSOCIATED', 'SIGNIFICANTLY', 'HIGHER', 'NUMBER', 'PRECIPITIN', 'P', 'AERUGINOSA', 'OCCURRENCE', 'NON', 'MUCOID', 'STRAIN', 'MALE', 'CHRONICALLY', 'COLONIZED', 'MUCOID', 'STRAIN', 'PRESENTED', 'SIGNIFICANTLY', 'HIGHER', 'NUMBER', 'PRECIPITIN', 'FEMALE', 'CHRONICALLY', 'COLONIZED', 'MUCOID', 'STRAIN', 'NUMBER', 'PRECIPITIN', 'CORRELATED', 'DURATION', 'CHRONIC', 'COLONIZATION', 'P', 'AERUGINOSA', 'MALE', 'CONTRAST', 'FEMALE', 'RESULT', 'ACCORDANCE', 'HYPOTHESIS', 'MUCOID', 'SUBSTANCE', 'COULD', 'VIRULENCE', 'FACTOR', 'MIGHT', 'INHIBIT', 'OPSONIZING', 'EFFECT', 'PRECIPITIN', 'MUCOID', 'CELL', 'COMPLEMENT', 'DEPENDENT', 'LYSIS', 'CELL', 'HEREBY', 'FAVOURING', 'MUCOID', 'STRAIN', 'EXPENSE', 'NON', 'MUCOID', 'STRAIN', 'RESPIRATORY', 'TRACT', 'CYSTIC', 'FIBROSIS', 'PATIENT']"
00008 ,"['SEVENTY', 'PATIENT', 'CYSTIC', 'FIBROSIS', 'TREATED', 'PATIENT', 'CYSTIC', 'FIBROSIS', 'CLINIC', 'FOLLOWED', 'ONE', 'YEAR', 'MONTHLY', 'BACTERIOLOGICAL', 'EXAMINATION', 'TRACHEAL', 'SECRETION', 'DAILY', 'IMPRESSION', 'OBTAINED', 'LABORATORY', 'EXPRESSED', 'MEAN', 'POINT', 'PREVALENCE', 'RATE', 'PSEUDOMONAS', 'AERUGINOSA', 'PER', 'CENT', 'STAPHYLOCOCCUS', 'AUREUS', 'PER', 'CENT', 'HAEMOPHILUS', 'INFLUENZAE', 'PER', 'CENT', 'DIPLOCOCCUS', 'PNEUMONIAE', 'PER', 'CENT', 'MISCELLANEOUS', 'BACTERIA', 'MAINLY', 'ENTEROBACTERIACEAE', 'PER', 'CENT', 'FLUCTUATION', 'BACTERIOLOGY', 'DESCRIBED', 'ADDITIONAL', 'EPIDEMIOLOGICAL', 'TERM', 'ONE', 'EXAMINATION', 'STUDY', 'PERIOD', 'PREVALENCE', 'RATE', 'PER', 'CENT', 'PATIENT', 'HARBOURED', 'ST', 'AUREUS', 'PER', 'CENT', 'P', 'AERUGINOSA', 'MAINLY', 'MUCOID', 'STRAIN', 'PER', 'CENT', 'INFLUENZAE', 'PER', 'CENT', 'PNEUMONIAE', 'PER', 'CENT', 'MISCELLANEOUS', 'BACTERIA', 'MAINLY', 'ENTEROBACTERIACEAE', 'PATTERN', 'FOUND', 'AGE', 'GROUP', 'MINOR', 'AGE', 'DEPENDENT', 'MODIFICATION', 'ESPECIALLY', 'REGARD', 'ENTEROBACTERIACEAE', 'P', 'AERUGINOSA', 'PREDOMINATING', 'REGARD', 'CHRONIC', 'COLONIZATION', 'REFLECTS', 'DIFFICULT', 'THERAPEUTIC', 'PROBLEM', 'PERIOD', 'PREVALENCE', 'RATE', 'PER', 'CENT', 'CONTRAST', 'ST', 'AUREUS', 'PER', 'CENT', 'INFLUENZAE', 'PER', 'CENT', 'ST', 'AUREUS', 'PREDOMINATING', 'REGARD', 'NEW', 'COLONIZATION', 'RECOLONIZATION', 'REFLECT', 'PROBLEM', 'PREVENTION', 'INCIDENCE', 'RATE', 'NEW', 'COLONIZATION', 'RECOLONIZATION', 'PER', 'RISK', 'GROUP', 'PER', 'CENT', 'FOLLOWED', 'INFLUENZAE', 'PER', 'CENT', 'P', 'AERUGINOSA', 'PER', 'CENT', 'PNEUMONIAE', 'PER', 'CENT', 'RESULT', 'SHOW', 'BACTERIOLOGICAL', 'PROBLEM', 'CYSTIC', 'FIBROSIS', 'STILL', 'CONSIDERABLE', 'REGARD', 'THERAPY', 'WELL', 'PREVENTION', 'ALTHOUGH', 'MANY', 'SPECIE', 'MAY', 'COLONIZE', 'RESPIRATORY', 'TRACT', 'PATIENT', 'MAIN', 'CLINICAL', 'PROBLEM', 'CONCERN', 'P', 'AERUGINOSA', 'ST', 'AUREUS', 'REASON', 'DISCUSSED']"
00009 ,"['FAMILY', 'PRESENTED', 'CELIAC', 'SPRUE', 'CYSTIC', 'FIBROSIS', 'OCCURRED', 'WITHIN', 'SIBSHIP', 'COUSIN', 'INDEX', 'CASE', 'ALSO', 'DISCOVERED', 'CELIAC', 'SPRUE', 'GENETICS', 'INCIDENCE', 'CONDITION', 'REVIEWED', 'ESTIMATED', 'LIKELIHOOD', 'ASSOCIATION', 'OCCURRING', 'BASIS', 'CHANCE', 'FAMILY']"
00010 ,"['PATIENT', 'EXHIBITED', 'FEATURE', 'KARTAGENER', 'SYNDROME', 'CYSTIC', 'FIBROSIS', 'AUTHOR', 'KNOWLEDGE', 'REPRESENTS', 'THIRD', 'REPORT', 'COMBINATION', 'CYSTIC', 'FIBROSIS', 'EXCLUDED', 'DIAGNOSIS', 'KARTAGENER', 'SYNDROME', 'MADE']"
